"simulationTime[s]","firingID","districtName","districtSafetyLevel","generallyRequiredPatrols","solvingPatrols","reachingPatrols(including 'called')","calledPatrols","totalDistanceOfCalledPatrols","isNight"
59593,5b05b9a1-b3f4-4245-8eae-ce2adf32d647,Podgórze Duchackie,NotSafe,6,1,3,3,"5917,658239675595",1
59624,5b05b9a1-b3f4-4245-8eae-ce2adf32d647,Podgórze Duchackie,NotSafe,6,1,5,2,"6390,624974970859",1
60977,19d2547c-861a-474e-bffa-23f451e3cdb6,Grzegórzki,RatherSafe,2,1,1,1,"618,4534215232202",1
62198,731a9b59-eef0-4e33-a5a3-a18199905f84,Grzegórzki,RatherSafe,3,1,3,3,"1848,2242808623373",1
62535,d94522c9-214e-4136-b896-c523a535ef08,Dêbniki,NotSafe,5,1,1,1,"1510,7647892745022",1
62537,d94522c9-214e-4136-b896-c523a535ef08,Dêbniki,NotSafe,5,1,2,1,"2850,082540128078",1
62860,d94522c9-214e-4136-b896-c523a535ef08,Dêbniki,NotSafe,5,3,1,1,"3546,8968574846394",1
62861,1f23d8bc-e070-480c-915f-8da3eb664137,Nowa Huta,NotSafe,2,1,1,1,"2726,2275555223605",1
62894,d94522c9-214e-4136-b896-c523a535ef08,Dêbniki,NotSafe,5,3,3,2,"7040,816622247927",1
63532,cf15fd27-be6e-406a-b8a9-21dca0a4134d,Stare Miasto,NotSafe,3,1,2,2,"1415,5002710913473",1
63535,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,1,3,3,"9242,021169490905",1
63784,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,4,1,1,"3373,780773390179",1
63893,d040d5e6-9096-424a-a6a4-e15608a2a6c4,Bronowice,NotSafe,6,4,2,1,"3553,17911190632",1
63894,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3,1,1,1,"2269,5185772833656",1
63929,6ebb2b73-f0ca-43aa-ab31-23725bb48ada,Podgórze Duchackie,NotSafe,3,1,5,4,"12551,456378845123",1
